tas,	Year, Month, Country
22.7854,1940,8,KOR
17.9042,1940,9,KOR
13.0599,1940,10,KOR
6.15452,1940,11,KOR
0.20285,1940,12,KOR
-2.8282,1941,1,KOR
-1.8201,1941,2,KOR
4.08397,1941,3,KOR
9.31054,1941,4,KOR
15.4849,1941,5,KOR
19.6429,1941,6,KOR
21.5367,1941,7,KOR
22.5453,1941,8,KOR
17.5209,1941,9,KOR
11.6192,1941,10,KOR
6.86707,1941,11,KOR
0.48239,1941,12,KOR
-5.1381,1942,1,KOR
-3.2108,1942,2,KOR
5.47632,1942,3,KOR
9.54947,1942,4,KOR
13.8521,1942,5,KOR
20.6909,1942,6,KOR
26.015,1942,7,KOR
24.1167,1942,8,KOR
18.9074,1942,9,KOR
11.6713,1942,10,KOR
4.66151,1942,11,KOR
-1.1078,1942,12,KOR
-5.7573,1943,1,KOR
-1.866,1943,2,KOR
4.53442,1943,3,KOR
9.4546,1943,4,KOR
15.4491,1943,5,KOR
20.0565,1943,6,KOR
23.7785,1943,7,KOR
25.4114,1943,8,KOR
19.2878,1943,9,KOR
12.7919,1943,10,KOR
5.47271,1943,11,KOR
0.17422,1943,12,KOR
-3.4786,1944,1,KOR
-2.3336,1944,2,KOR
3.20945,1944,3,KOR
8.86638,1944,4,KOR
14.9717,1944,5,KOR
20.6279,1944,6,KOR
24.4496,1944,7,KOR
24.3036,1944,8,KOR
19.4531,1944,9,KOR
12.2689,1944,10,KOR
7.07141,1944,11,KOR
-4.571,1944,12,KOR
-6.8375,1945,1,KOR
-4.4656,1945,2,KOR
2.49342,1945,3,KOR
10.4588,1945,4,KOR
12.9636,1945,5,KOR
19.3429,1945,6,KOR
21.9884,1945,7,KOR
24.3237,1945,8,KOR
19.5163,1945,9,KOR
12.2479,1945,10,KOR
7.33431,1945,11,KOR
-1.3702,1945,12,KOR
-2.3022,1946,1,KOR
-0.7893,1946,2,KOR
2.45906,1946,3,KOR
10.2146,1946,4,KOR
14.5583,1946,5,KOR
20.2944,1946,6,KOR
24.5576,1946,7,KOR
24.3454,1946,8,KOR
18.7216,1946,9,KOR
12.5532,1946,10,KOR
7.90141,1946,11,KOR
-3.3487,1946,12,KOR
-3.2798,1947,1,KOR
-4.7046,1947,2,KOR
1.81315,1947,3,KOR
9.92316,1947,4,KOR
14.2643,1947,5,KOR
17.6225,1947,6,KOR
22.4041,1947,7,KOR
24.17,1947,8,KOR
18.3182,1947,9,KOR
10.7023,1947,10,KOR
3.57196,1947,11,KOR
-4.1604,1947,12,KOR
-3.6776,1948,1,KOR
-0.9744,1948,2,KOR
3.71652,1948,3,KOR
11.266,1948,4,KOR
15.1056,1948,5,KOR
19.9367,1948,6,KOR
23.0343,1948,7,KOR
24.07,1948,8,KOR
18.7232,1948,9,KOR
12.7131,1948,10,KOR
5.20113,1948,11,KOR
3.38144,1948,12,KOR
-2.4773,1949,1,KOR
0.89549,1949,2,KOR
3.05177,1949,3,KOR
8.906,1949,4,KOR
15.472,1949,5,KOR
18.5368,1949,6,KOR
22.6685,1949,7,KOR
24.4685,1949,8,KOR
19.3258,1949,9,KOR
12.6635,1949,10,KOR
6.06865,1949,11,KOR
-0.817,1949,12,KOR
-1.1954,1950,1,KOR
-0.6703,1950,2,KOR
3.99793,1950,3,KOR
11.2812,1950,4,KOR
15.8521,1950,5,KOR
19.3757,1950,6,KOR
24.3716,1950,7,KOR
24.4142,1950,8,KOR
18.5843,1950,9,KOR
12.7744,1950,10,KOR
5.47679,1950,11,KOR
-1.1949,1950,12,KOR
-2.9083,1951,1,KOR
-0.5005,1951,2,KOR
2.88638,1951,3,KOR
9.25735,1951,4,KOR
15.8046,1951,5,KOR
19.6527,1951,6,KOR
23.219,1951,7,KOR
25.4573,1951,8,KOR
18.0846,1951,9,KOR
13.6423,1951,10,KOR
6.13399,1951,11,KOR
1.57276,1951,12,KOR
-2.9583,1952,1,KOR
-2.9828,1952,2,KOR
2.79965,1952,3,KOR
10.3276,1952,4,KOR
15.7649,1952,5,KOR
20.3769,1952,6,KOR
23.6479,1952,7,KOR
23.4296,1952,8,KOR
18.3697,1952,9,KOR
11.7491,1952,10,KOR
6.9927,1952,11,KOR
-1.9742,1952,12,KOR
-4.7349,1953,1,KOR
-2.1054,1953,2,KOR
4.30017,1953,3,KOR
9.35515,1953,4,KOR
15.0237,1953,5,KOR
18.9679,1953,6,KOR
23.6943,1953,7,KOR
24.1307,1953,8,KOR
19.0604,1953,9,KOR
14.1702,1953,10,KOR
4.87233,1953,11,KOR
0.8968,1953,12,KOR
-1.5056,1954,1,KOR
0.24545,1954,2,KOR
3.38063,1954,3,KOR
10.4914,1954,4,KOR
15.032,1954,5,KOR
17.7921,1954,6,KOR
20.6983,1954,7,KOR
24.3708,1954,8,KOR
19.2017,1954,9,KOR
11.3776,1954,10,KOR
8.6382,1954,11,KOR
-1.5019,1954,12,KOR
-4.82,1955,1,KOR
0.32705,1955,2,KOR
4.26045,1955,3,KOR
10.3442,1955,4,KOR
14.7431,1955,5,KOR
20.5727,1955,6,KOR
24.0111,1955,7,KOR
23.9978,1955,8,KOR
19.1183,1955,9,KOR
11.5394,1955,10,KOR
5.24128,1955,11,KOR
0.97819,1955,12,KOR
-3.3994,1956,1,KOR
-2.8491,1956,2,KOR
3.05606,1956,3,KOR
9.23976,1956,4,KOR
14.3283,1956,5,KOR
18.7708,1956,6,KOR
22.9538,1956,7,KOR
22.7076,1956,8,KOR
18.6469,1956,9,KOR
11.9932,1956,10,KOR
3.22039,1956,11,KOR
-4.0638,1956,12,KOR
-2.6837,1957,1,KOR
-3.6232,1957,2,KOR
0.70278,1957,3,KOR
9.81539,1957,4,KOR
15.4314,1957,5,KOR
18.709,1957,6,KOR
21.756,1957,7,KOR
22.3539,1957,8,KOR
17.1154,1957,9,KOR
11.8328,1957,10,KOR
7.27646,1957,11,KOR
-0.1102,1957,12,KOR
-4.877,1958,1,KOR
-0.5138,1958,2,KOR
3.82416,1958,3,KOR
10.0182,1958,4,KOR
14.905,1958,5,KOR
20.62,1958,6,KOR
24.0326,1958,7,KOR
22.2719,1958,8,KOR
18.4276,1958,9,KOR
11.4337,1958,10,KOR
6.10495,1958,11,KOR
3.12027,1958,12,KOR
-4.5312,1959,1,KOR
1.86922,1959,2,KOR
5.71431,1959,3,KOR
9.89197,1959,4,KOR
16.2288,1959,5,KOR
19.5186,1959,6,KOR
23.7073,1959,7,KOR
24.3311,1959,8,KOR
19.4263,1959,9,KOR
13.652,1959,10,KOR
5.73062,1959,11,KOR
0.67723,1959,12,KOR
-3.2571,1960,1,KOR
1.38274,1960,2,KOR
6.03623,1960,3,KOR
9.59283,1960,4,KOR
14.8502,1960,5,KOR
19.92,1960,6,KOR
24.1657,1960,7,KOR
24.7915,1960,8,KOR
19.2078,1960,9,KOR
13.1782,1960,10,KOR
6.4353,1960,11,KOR
-1.7022,1960,12,KOR
-4.6985,1961,1,KOR
-0.9857,1961,2,KOR
4.8674,1961,3,KOR
10.8567,1961,4,KOR
15.7695,1961,5,KOR
20.2668,1961,6,KOR
25.2197,1961,7,KOR
24.8924,1961,8,KOR
20.0512,1961,9,KOR
14.1293,1961,10,KOR
7.62553,1961,11,KOR
-0.5129,1961,12,KOR
-3.5658,1962,1,KOR
-0.5909,1962,2,KOR
3.21858,1962,3,KOR
9.29127,1962,4,KOR
16.1648,1962,5,KOR
19.5116,1962,6,KOR
23.8416,1962,7,KOR
23.7848,1962,8,KOR
18.6637,1962,9,KOR
12.054,1962,10,KOR
5.07512,1962,11,KOR
0.83272,1962,12,KOR
-7.8472,1963,1,KOR
-2.4832,1963,2,KOR
4.25065,1963,3,KOR
9.5435,1963,4,KOR
15.3925,1963,5,KOR
18.6565,1963,6,KOR
23.3556,1963,7,KOR
23.8358,1963,8,KOR
18.6623,1963,9,KOR
12.1645,1963,10,KOR
5.97717,1963,11,KOR
0.74773,1963,12,KOR
-1.0382,1964,1,KOR
-3.5479,1964,2,KOR
3.39449,1964,3,KOR
11.785,1964,4,KOR
16.3217,1964,5,KOR
19.8706,1964,6,KOR
24.2003,1964,7,KOR
25.1397,1964,8,KOR
19.2026,1964,9,KOR
12.5504,1964,10,KOR
5.66232,1964,11,KOR
0.29652,1964,12,KOR
-4.1863,1965,1,KOR
-1.6473,1965,2,KOR
2.45495,1965,3,KOR
8.83058,1965,4,KOR
15.7085,1965,5,KOR
20.2466,1965,6,KOR
22.4986,1965,7,KOR
23.5792,1965,8,KOR
18.9364,1965,9,KOR
13.2712,1965,10,KOR
6.56041,1965,11,KOR
-1.7268,1965,12,KOR
-3.9788,1966,1,KOR
0.05859,1966,2,KOR
4.31378,1966,3,KOR
9.96223,1966,4,KOR
15.9108,1966,5,KOR
19.2459,1966,6,KOR
22.9981,1966,7,KOR
