pr,	Year, Month, Country
21.1455,1927,11,KOR
38.2646,1927,12,KOR
59.0177,1928,1,KOR
22.7179,1928,2,KOR
44.2848,1928,3,KOR
71.0857,1928,4,KOR
51.7072,1928,5,KOR
176.258,1928,6,KOR
151.733,1928,7,KOR
194.415,1928,8,KOR
230.699,1928,9,KOR
32.5356,1928,10,KOR
50.9387,1928,11,KOR
30.0669,1928,12,KOR
14.7567,1929,1,KOR
21.544,1929,2,KOR
34.557,1929,3,KOR
70.5017,1929,4,KOR
44.824,1929,5,KOR
185.287,1929,6,KOR
142.599,1929,7,KOR
200.36,1929,8,KOR
69.6021,1929,9,KOR
20.6574,1929,10,KOR
39.8682,1929,11,KOR
63.5541,1929,12,KOR
7.98923,1930,1,KOR
60.7038,1930,2,KOR
117.582,1930,3,KOR
154.605,1930,4,KOR
134.098,1930,5,KOR
242.802,1930,6,KOR
439.867,1930,7,KOR
256.81,1930,8,KOR
59.9021,1930,9,KOR
77.2269,1930,10,KOR
47.9725,1930,11,KOR
8.35809,1930,12,KOR
54.6326,1931,1,KOR
51.2869,1931,2,KOR
50.5927,1931,3,KOR
135.775,1931,4,KOR
106.379,1931,5,KOR
83.4648,1931,6,KOR
324.511,1931,7,KOR
317.913,1931,8,KOR
147.524,1931,9,KOR
17.3465,1931,10,KOR
47.9756,1931,11,KOR
68.2553,1931,12,KOR
17.7909,1932,1,KOR
47.9141,1932,2,KOR
22.0206,1932,3,KOR
67.6034,1932,4,KOR
86.2108,1932,5,KOR
129.358,1932,6,KOR
109.974,1932,7,KOR
277.864,1932,8,KOR
57.8123,1932,9,KOR
30.2085,1932,10,KOR
31.832,1932,11,KOR
44.4202,1932,12,KOR
29.8188,1933,1,KOR
24.7274,1933,2,KOR
48.3266,1933,3,KOR
80.6764,1933,4,KOR
146.084,1933,5,KOR
289.922,1933,6,KOR
318.136,1933,7,KOR
275.48,1933,8,KOR
208.461,1933,9,KOR
105.224,1933,10,KOR
34.033,1933,11,KOR
32.6085,1933,12,KOR
6.89614,1934,1,KOR
22.462,1934,2,KOR
54.6107,1934,3,KOR
69.1883,1934,4,KOR
117.551,1934,5,KOR
